1	The	the	DET	DT	_	3	det	_	_
2	old	old	ADJ	JJ	_	3	amod	_	_
3	car	car	NOUN	NN	_	4	nsubj	_	_
4	broke	break	VERB	VBD	_	0	ROOT	_	_
5	down	down	ADP	RP	_	4	prt	_	_
6	in	in	ADP	IN	_	4	prep	_	_
7	the	the	DET	DT	_	9	det	_	_
8	car	car	NOUN	NN	_	9	compound	_	_
9	park	park	NOUN	NN	_	6	pobj	_	_
10	.	.	PUNCT	.	_	4	punct	_	_

1	The	the	DET	DT	_	2	det	_	_
2	horses	horse	NOUN	NNS	_	4	nsubjpass	_	_
3	were	be	AUX	VBD	_	4	auxpass	_	_
4	broken	break	VERB	VBN	_	0	ROOT	_	_
5	in	in	ADP	RP	_	4	prt	_	_
6	and	and	CCONJ	CC	_	4	cc	_	_
7	ridden	ride	VERB	VBN	_	4	conj	_	_
8	in	in	ADP	IN	_	7	prep	_	_
9	two	two	NUM	CD	_	10	nummod	_	_
10	weeks	week	NOUN	NNS	_	8	pobj	_	_
11	.	.	PUNCT	.	_	4	punct	_	_

1	It	-PRON-	PRON	PRP	_	2	nsubj	_	_
2	was	be	AUX	VBD	_	0	ROOT	_	_
3	my	-PRON-	DET	PRP$	_	4	poss	_	_
4	aunt	aunt	NOUN	NN	_	6	nmod	_	_
5	’s	’s	PART	POS	_	4	punct	_	_
6	car	car	NOUN	NN	_	2	attr	_	_
7	which	which	DET	WDT	_	9	dobj	_	_
8	we	-PRON-	PRON	PRP	_	9	nsubj	_	_
9	sold	sell	VERB	VBD	_	6	relcl	_	_
10	at	at	ADP	IN	_	9	prep	_	_
11	auction	auction	NOUN	NN	_	10	pobj	_	_
12	last	last	ADJ	JJ	_	13	amod	_	_
13	year	year	NOUN	NN	_	9	npadvmod	_	_
14	in	in	ADP	IN	_	9	prep	_	_
15	February	February	PROPN	NNP	_	14	pobj	_	_
16	.	.	PUNCT	.	_	2	punct	_	_

1	The	the	DET	DT	_	5	det	_	_
2	long	long	ADJ	JJ	_	5	amod	_	_
3	and	and	CCONJ	CC	_	2	cc	_	_
4	lonely	lonely	ADJ	JJ	_	2	conj	_	_
5	road	road	NOUN	NN	_	8	nsubj	_	_
6	to	to	ADP	IN	_	5	prep	_	_
7	redemption	redemption	NOUN	NN	_	6	pobj	_	_
8	begins	begin	VERB	VBZ	_	0	ROOT	_	_
9	with	with	ADP	IN	_	8	prep	_	_
10	self	self	NOUN	NN	_	12	compound	_	_
11	-	-	PUNCT	HYPH	_	12	punct	_	_
12	reflection	reflection	NOUN	NN	_	9	pobj	_	_
13	:	:	PUNCT	:	_	8	punct	_	_
14	the	the	DET	DT	_	15	det	_	_
15	need	need	NOUN	NN	_	8	compound	_	_
16	to	to	PART	TO	_	17	aux	_	_
17	delve	delve	VERB	VB	_	15	acl	_	_
18	inwards	inward	NOUN	NNS	_	17	dobj	_	_
19	to	to	PART	TO	_	20	aux	_	_
20	deconstruct	deconstruct	VERB	VB	_	17	advcl	_	_
21	layers	layer	NOUN	NNS	_	20	dobj	_	_
22	of	of	ADP	IN	_	21	prep	_	_
23	psychological	psychological	ADJ	JJ	_	24	amod	_	_
24	obfuscation	obfuscation	NOUN	NN	_	22	pobj	_	_
25	.	.	PUNCT	.	_	15	punct	_	_

1	My	-PRON-	DET	PRP$	_	3	poss	_	_
2	wildest	wild	ADJ	JJS	_	3	amod	_	_
3	dream	dream	NOUN	NN	_	4	nsubj	_	_
4	is	be	AUX	VBZ	_	0	ROOT	_	_
5	to	to	PART	TO	_	6	aux	_	_
6	build	build	VERB	VB	_	4	xcomp	_	_
7	a	a	DET	DT	_	9	det	_	_
8	POS	pos	NOUN	NN	_	9	compound	_	_
9	tagger	tagger	NOUN	NN	_	6	dobj	_	_
10	which	which	DET	WDT	_	11	nsubj	_	_
11	processes	process	VERB	VBZ	_	9	relcl	_	_
12	10	10	NUM	CD	_	14	nummod	_	_
13	K	k	NOUN	NN	_	14	compound	_	_
14	words	word	NOUN	NNS	_	11	dobj	_	_
15	per	per	ADP	IN	_	14	prep	_	_
16	second	second	NOUN	NN	_	15	pobj	_	_
17	and	and	CCONJ	CC	_	11	cc	_	_
18	uses	use	VERB	VBZ	_	11	conj	_	_
19	only	only	ADV	RB	_	20	advmod	_	_
20	1	1	NUM	CD	_	21	nummod	_	_
21	MB	mb	NOUN	NN	_	18	dobj	_	_
22	of	of	ADP	IN	_	21	prep	_	_
23	RAM	ram	NOUN	NN	_	22	pobj	_	_
24	,	,	PUNCT	,	_	4	punct	_	_
25	but	but	CCONJ	CC	_	4	cc	_	_
26	it	-PRON-	PRON	PRP	_	28	nsubj	_	_
27	may	may	VERB	MD	_	28	aux	_	_
28	prove	prove	VERB	VB	_	4	conj	_	_
29	too	too	ADV	RB	_	28	advmod	_	_
30	hard	hard	ADV	RB	_	28	advmod	_	_
31	.	.	PUNCT	.	_	28	punct	_	_

1	The	the	DET	DT	_	4	det	_	_
2	Penn	Penn	PROPN	NNP	_	3	compound	_	_
3	Treebank	Treebank	PROPN	NNP	_	4	compound	_	_
4	tagset	tagset	NOUN	NN	_	6	nsubjpass	_	_
5	was	be	AUX	VBD	_	6	auxpass	_	_
6	culled	cull	VERB	VBN	_	0	ROOT	_	_
7	from	from	ADP	IN	_	6	prep	_	_
8	the	the	DET	DT	_	11	det	_	_
9	original	original	ADJ	JJ	_	11	amod	_	_
10	87-tag	87-tag	NUM	CD	_	11	nummod	_	_
11	tagset	tagset	NOUN	NN	_	7	pobj	_	_
12	for	for	ADP	IN	_	11	prep	_	_
13	the	the	DET	DT	_	15	det	_	_
14	Brown	Brown	PROPN	NNP	_	15	compound	_	_
15	Corpus	Corpus	PROPN	NNP	_	12	pobj	_	_
16	.	.	PUNCT	.	_	6	punct	_	_

1	Thus	thus	ADV	RB	_	14	advmod	_	_
2	the	the	DET	DT	_	10	det	_	_
3	EM	em	NOUN	NN	_	5	npadvmod	_	_
4	-	-	PUNCT	HYPH	_	5	punct	_	_
5	trained	train	VERB	VBN	_	10	amod	_	_
